爵床科||Acanthaceae||白接骨属||Asystasia||白接骨||Asystasia neesiana
伞形科||Apiaceae||矮泽芹属||Chamaesium||粗棱矮泽芹||Chamaesium novemjugum
伞形科||Apiaceae||矮泽芹属||Chamaesium||矮泽芹||Chamaesium paradoxum
伞形科||Apiaceae||鸭儿芹属||Cryptotaenia||鸭儿芹||Cryptotaenia japonica
伞形科||Apiaceae||环根芹属||Cyclorhiza||环根芹||Cyclorhiza waltonii
伞形科||Apiaceae||天胡荽属||Hydrocotyle||中华天胡荽||Hydrocotyle hookeri ssp. chinensis
伞形科||Apiaceae||天胡荽属||Hydrocotyle||红马蹄草||Hydrocotyle nepalensis
伞形科||Apiaceae||天胡荽属||Hydrocotyle||天胡荽||Hydrocotyle sibthorpioides
伞形科||Apiaceae||棱子芹属||Pleurospermum||美丽棱子芹||Pleurospermum amabile
伞形科||Apiaceae||棱子芹属||Pleurospermum||宝兴棱子芹||Pleurospermum benthamii
伞形科||Apiaceae||棱子芹属||Pleurospermum||二色棱子芹||Pleurospermum bicolor
伞形科||Apiaceae||棱子芹属||Pleurospermum||臭棱子芹||Pleurospermum foetens
伞形科||Apiaceae||棱子芹属||Pleurospermum||松潘棱子芹||Pleurospermum franchetianum
伞形科||Apiaceae||棱子芹属||Pleurospermum||垫状棱子芹||Pleurospermum hedinii
伞形科||Apiaceae||棱子芹属||Pleurospermum||喜马拉雅棱子芹||Pleurospermum hookeri
伞形科||Apiaceae||棱子芹属||Pleurospermum||西藏棱子芹||Pleurospermum hookeri var. thomsonii
伞形科||Apiaceae||棱子芹属||Pleurospermum||矮棱子芹||Pleurospermum nanum
伞形科||Apiaceae||棱子芹属||Pleurospermum||皱果棱子芹||Pleurospermum nubigenum
伞形科||Apiaceae||棱子芹属||Pleurospermum||青藏棱子芹||Pleurospermum pulszkyi
伞形科||Apiaceae||棱子芹属||Pleurospermum||瘤果棱子芹||Pleurospermum wrightianum
伞形科||Apiaceae||变豆菜属||Sanicula||天蓝变豆菜||Sanicula caerulescens
伞形科||Apiaceae||变豆菜属||Sanicula||软雀花||Sanicula elata
伞形科||Apiaceae||变豆菜属||Sanicula||薄片变豆菜||Sanicula lamelligera
伞形科||Apiaceae||柴胡属||Bupleurum||匍枝柴胡||Bupleurum dalhousieanum
伞形科||Apiaceae||独活属||Heracleum||白亮独活||Heracleum candicans
伞形科||Apiaceae||独活属||Heracleum||尖叶独活||Heracleum franchetii
伞形科||Apiaceae||藁本属||Ligusticum||羽苞藁本||Ligusticum daucoides
伞形科||Apiaceae||藁本属||Ligusticum||多苞藁本||Ligusticum involucratum
伞形科||Apiaceae||藁本属||Ligusticum||抽葶藁本||Ligusticum scapiforme
伞形科||Apiaceae||藁本属||Ligusticum||川滇藁本||Ligusticum sikiangense
伞形科||Apiaceae||水芹属||Oenanthe||水芹||Oenanthe javanica
伞形科||Apiaceae||水芹属||Oenanthe||线叶水芹||Oenanthe linearis
伞形科||Apiaceae||水芹属||Oenanthe||蒙自水芹||Oenanthe linearis ssp. rivularis
伞形科||Apiaceae||水芹属||Oenanthe||多裂叶水芹||Oenanthe thomsonii
